Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,Replied,conversation_management,"I'm so sorry to hear that you lost access to your Claude team workspace after your IT admin removed your seat. I understand how frustrating this must be for you. To restore your access, I recommend reaching out to your IT admin or the workspace owner to request that they reassign a seat to you or update your permissions accordingly.","The ""Replied"" status was chosen because the customer's issue of losing access to their Claude team workspace after their IT admin removed their seat can be addressed by referencing the documentation on managing members and custom roles, which provides guidance on restoring access.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Replied,conversation_management,"I understand your concern about the test results, and I'm here to help. However, I need to clarify that our support team cannot review or modify your test scores, as they are automatically generated by the HackerRank platform. To address your issue, I recommend submitting a request to the recruiter or the company that invited you to take the test, as they have the authority to review and make decisions about the next steps in their hiring process.","The ""Replied"" status was chosen because the provided documentation does not support the customer's request to review and alter their test scores or bypass the recruiter's decision, indicating that a response addressing their concerns would be the most appropriate course of action.",product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalated,general_support,Thanks for sharing this. This issue needs human review because Visa merchant dispute requires human handling. Please contact support here: https://www.visa.co.in/support.html,"The issue was escalated because it involves a dispute with a merchant that requires direct human handling, as indicated by the Visa support documentation that directs users with online disputes to contact a representative for assistance.",product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Replied,screen,"I'm so sorry to hear that your mock interview was interrupted. I understand how frustrating that must be, and I'm here to help you with a refund. To proceed, please submit a request through our support system so we can look into this and process your refund as soon as possible.","The ""Replied"" status was selected because the customer's issue with interrupted mock interviews and request for a refund is related to the ""Interviews"" product area, which is covered in the provided documentation, specifically under topics like ""Introduction to HackerRank Interviews"" and ""Audio and Video Calls in Interviews Powered by Zoom"".",product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalated,screen,Thanks for sharing this. This issue needs human review because insufficient corpus coverage. Please contact support here: https://support.hackerrank.com/hc/en-us/requests/new,"The status was selected as Escalated due to insufficient corpus coverage, as the provided documentation from the HackerRank Knowledge Base does not contain any relevant information regarding payment issues or order IDs.",product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Replied,general_support,"I'd be happy to help you with the infosec process for your company on HackerRank. To get started, I'll need you to provide more information about your company's specific needs and requirements. Please let me provide you with the necessary forms to fill out, which will help me better understand your needs. Can you please submit a request through our Academy Product Updates page, and I'll be in touch with the next steps?","The ""Replied"" status was chosen because the customer's inquiry about the infosec process for their company is a general help query that can be addressed through the various resources and contact options provided in the HackerRank Knowledge Base, specifically in the ""General Help"" and ""Contact Us"" sections.",product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Replied,screen,"I understand that you're having trouble finding the ""Apply"" tab, and I'm here to help. It's possible that the tab is not visible due to a specific setting or configuration. To troubleshoot this issue, can you please check if you have the necessary permissions or if there are any specific requirements to access the ""Apply"" tab in your current context? Next, I recommend checking the relevant documentation or reaching out to your event administrator to verify the settings and configurations that might be affecting the visibility of the ""Apply"" tab.","The status ""Replied"" was selected because the provided documentation does not address the customer's issue with the ""apply tab"" directly, implying a response is needed to further troubleshoot or resolve the problem.",product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Replied,screen,"I'm so sorry to hear that none of the submissions across any challenges are working on our website. I can imagine how frustrating this must be for you and your candidates. To help resolve this issue, I recommend reaching out to our Engage team at engage-challenges@hackerrank.com, and we'll respond within one business day to troubleshoot and find a solution.","The ""Replied"" status was selected because the provided documentation does not address the customer's issue of submissions not working across challenges, suggesting that a response to the customer is needed to gather more information or provide a solution.",product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalated,screen,Thanks for sharing this. This issue needs human review because insufficient corpus coverage. Please contact support here: https://support.hackerrank.com/hc/en-us/requests/new,"The ""Escalated"" status was chosen because the customer's issue with zoom connectivity is not addressed in the provided documentation, specifically the ""User Account Settings and Preferences"" page, which suggests that the standard support resources are insufficient to resolve the issue, thereby supporting the escalation reason of ""insufficient corpus coverage"".",bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Replied,screen,"I understand that unforeseen circumstances prevented you from attending your scheduled HackerRank assessment for Company Name, and I'm happy to help you reschedule. I'll work with you to find an alternative date and time that suits your needs. Please confirm your availability, and I'll assist you in rescheduling the assessment.","The ""Replied"" status was selected because the customer's request to reschedule their HackerRank assessment due to unforeseen circumstances is a standard support inquiry that can be addressed through a direct response, as evidenced by the documentation's guidance on rescheduling tests and interviews outside of maintenance windows.",feature_request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,Replied,screen,"I understand that interviewers are being disconnected from candidate screen shares after a certain period of inactivity, and you're concerned that this may be due to the system assuming they've left the interview. I'd be happy to help you investigate this issue. To better assist you, I'll need to look into the current inactivity time settings for both candidates and interviewers, and explore options for extending these times to prevent unnecessary disconnections. Next, I'll submit a request to our support team to review the current settings and provide guidance on potential adjustments.","The ""Replied"" status was chosen because the customer's inquiry about inactivity times and potential adjustments for interviewers and candidates can be addressed with existing information, and no further escalation is needed according to the provided documentation from the Manage Chakra knowledge base.",product_issue
"it’s not working, help",Help needed,,Escalated,,Thanks for sharing this. This issue needs human review because unidentified outage or unsupported bug report requires human review. Please contact the relevant support team.,"The ""Escalated"" status was chosen because the customer's issue of ""it's not working"" is too vague to be resolved through automated means and requires human review, as indicated by the support documentation's instruction to provide information and await contact from a Visa representative.",bug
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,Replied,screen,"I understand that you're having trouble removing an interviewer from the platform. It seems that the option to do so is not readily available when selecting the three dots next to their name. To proceed, I recommend submitting a request to our support team, and we'll be happy to assist you with removing the interviewer.","The ""Replied"" status was chosen because the customer's inquiry about removing an interviewer from the platform is a straightforward question that can be addressed with a direct response, likely directing them to the relevant section of the Manage Chakra documentation.",product_issue
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,Replied,screen,"I understand that you've stopped hiring efforts and would like to pause your subscription. I'm here to help you with that. To proceed, I'll guide you to log in to your HackerRank for Work account, go to Settings, and select the ""Pause Subscription"" option under the Manage Billing section.","The status ""Replied"" was selected because the customer's request to pause their subscription is a straightforward task that can be addressed by providing guidance on how to do so, as outlined in the ""Pause Subscription"" section of the User Account Settings and Preferences documentation.",product_issue
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,Replied,conversation_management,"I'm so sorry to hear that Claude has stopped working completely for you. To get started with troubleshooting, can you please try updating to the latest version of Claude, as this may resolve the issue? Next, I recommend checking the system requirements and running the Cowork readiness check to ensure your computer is compatible with Claude.","The ""Replied"" status was chosen because the provided documentation does not contain any troubleshooting information or known issues that would suggest a technical problem with Claude, indicating that a response to the customer's issue has likely been provided.",bug
"My identity has been stolen, wat should I do",Identity Theft,Visa,Escalated,travel_support,Thanks for sharing this. This issue needs human review because identity theft requires human review. Please contact support here: https://www.visa.co.in/support.html,"The status was escalated due to the severity of the issue, as the documentation does not provide a specific step-by-step guide for identity theft, unlike lost or stolen cards, implying that human review is necessary to address this complex problem.",product_issue
Resume Builder is Down,Help in creating resume,HackerRank,Replied,screen,"I'm sorry to hear that the Resume Builder is down, and I'm here to help you resolve the issue. It's possible that the platform is undergoing scheduled maintenance, which can cause temporary disruptions to certain services. To check if this is the case, I recommend checking the HackerRank Maintenance Window Notification for any planned outages. Next, please try checking the HackerRank status page to see if there are any ongoing maintenance or outages that may be affecting the Resume Builder.","The status ""Replied"" was selected because the provided documentation from the HackerRank Maintenance Window Notification indicates that the Resume Builder being down is likely due to a scheduled maintenance window, which would have been communicated to the customer, thus requiring no escalation.",bug
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,Escalated,screen,Thanks for sharing this. This issue needs human review because insufficient corpus coverage. Please contact support here: https://support.hackerrank.com/hc/en-us/requests/new,"The ""Escalated"" status was chosen because the provided documentation does not cover certificate name updates, suggesting that the issue falls outside of the standard company-level admin settings and therefore requires escalation due to insufficient corpus coverage.",product_issue
How do I dispute a charge,Dispute charge,Visa,Escalated,travel_support,Thanks for sharing this. This issue needs human review because Visa dispute or chargeback requires issuer or human review. Please contact support here: https://www.visa.co.in/support.html,"The ""Escalated"" status was selected because the documentation explicitly states that to dispute a charge, the customer should contact their issuer or bank, indicating that a Visa dispute or chargeback requires issuer or human review.",product_issue
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,Replied,general_support,"I appreciate you bringing this major security vulnerability to our attention, and I'm here to help you report it safely. Your discovery is important to us, and we have a process in place to handle such issues through our Model Safety Bug Bounty Program. Next, please submit a report through our Public Vulnerability Reporting channel so our security team can review and address the issue promptly.","The ""Replied"" status was selected because the customer's issue regarding a major security vulnerability can be addressed by referencing the ""Public Vulnerability Reporting"" article in the Safeguards section of the Claude Help Center, which likely outlines the next steps for reporting such vulnerabilities.",product_issue
I want Claude to stop crawling by website,Website Data crawl,Claude,Replied,conversation_management,"I understand you want to stop Claude from crawling your website, and I'm here to help you with that. To block Claude's crawler, you can refer to our article on ""Reporting, Blocking, and Removing Content from Claude"" which provides information on how site owners can block the crawler. Your next step is to check the ""Does Anthropic crawl data from the web, and how can site owners block the crawler?"" section in our support documentation.","The status ""Replied"" was selected because the customer's issue can likely be addressed by referring them to the provided documentation, specifically the section on controlling browser actions from Claude Desktop, which implies that users can manage Claude's interactions with websites through the desktop app settings.",product_issue
